customer_id_encoded,product_title_encoded,product_type_encoded
105,"[129, 129, 133, 133, 145, 145, 129, 129, 129, 145, 145, 129]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
106,"[129, 108]","[6, 6]"
107,"[129, 66, 129, 18, 54]","[6, 6, 6, 4, 6]"
108,"[129, 43]","[6, 2]"
109,"[19, 129, 114, 66]","[6, 6, 6, 6]"
110,"[129, 126, 129, 60, 87, 129, 129]","[6, 2, 6, 4, 1, 6, 6]"
111,"[66, 129, 128, 129]","[6, 6, 7, 6]"
112,"[135, 129]","[6, 6]"
113,"[37, 129]","[6, 6]"
114,"[66, 129, 114]","[6, 6, 6]"
115,"[139, 131, 129, 129, 66, 136, 80, 53]","[6, 2, 6, 6, 6, 5, 4, 2]"
116,"[19, 129]","[6, 6]"
117,"[129, 73]","[6, 6]"
118,"[129, 98, 129, 86, 86, 129]","[6, 2, 6, 2, 2, 6]"
119,"[19, 129]","[6, 6]"
120,"[129, 114, 133, 129]","[6, 6, 6, 6]"
121,"[133, 129]","[6, 6]"
122,"[126, 129, 129, 73, 69]","[2, 6, 6, 6, 2]"
123,"[129, 135]","[6, 6]"
124,"[129, 76, 129, 123, 126]","[6, 2, 6, 2, 2]"
125,"[129, 126, 76]","[6, 2, 2]"
126,"[129, 104]","[6, 6]"
127,"[129, 69, 132, 129]","[6, 2, 5, 6]"
128,"[114, 129]","[6, 6]"
129,"[129, 80, 80]","[6, 4, 4]"
130,"[129, 114]","[6, 4]"
131,"[129, 33]","[6, 2]"
132,"[80, 129]","[4, 6]"
133,"[129, 133]","[6, 6]"
134,"[80, 129]","[4, 6]"
135,"[129, 17]","[6, 6]"
136,"[131, 129]","[2, 6]"
137,"[129, 113]","[6, 6]"
138,"[73, 45, 129, 43, 129, 129, 126, 111]","[6, 2, 6, 2, 6, 6, 2, 2]"
139,"[129, 4]","[6, 6]"
140,"[133, 129, 114, 43, 129]","[6, 6, 6, 2, 6]"
141,"[55, 129]","[2, 6]"
142,"[133, 85, 129]","[6, 6, 6]"
143,"[129, 126]","[6, 2]"
144,"[69, 129, 19, 129]","[2, 6, 4, 6]"
145,"[133, 129]","[6, 6]"
146,"[129, 76]","[6, 2]"
147,"[129, 114, 124, 141, 129]","[6, 6, 4, 4, 6]"
148,"[55, 129]","[2, 6]"
149,"[135, 129]","[6, 6]"
150,"[48, 129]","[6, 6]"
151,"[114, 129]","[6, 6]"
152,"[114, 129]","[6, 6]"
153,"[133, 129]","[6, 6]"
154,"[129, 118]","[6, 6]"
155,"[69, 129]","[2, 6]"
156,"[22, 129]","[6, 6]"
157,"[129, 45]","[6, 6]"
158,"[66, 129]","[6, 6]"
159,"[129, 104, 104]","[6, 6, 6]"
160,"[129, 37, 129, 48]","[6, 6, 6, 6]"
161,"[133, 129]","[6, 6]"
162,"[129, 97, 43, 129]","[6, 2, 2, 6]"
163,"[129, 68]","[6, 6]"
164,"[129, 100]","[6, 6]"
165,"[129, 13]","[6, 2]"
166,"[129, 23, 129, 23]","[6, 6, 6, 6]"
167,"[66, 129, 129]","[6, 6, 6]"
168,"[129, 76, 126]","[6, 2, 2]"
169,"[133, 129]","[6, 6]"
170,"[129, 97]","[6, 2]"
171,"[86, 129, 126]","[2, 6, 2]"
172,"[37, 126, 129]","[6, 2, 6]"
173,"[129, 44]","[6, 0]"
174,"[129, 100, 129, 19, 129, 114]","[6, 6, 6, 4, 6, 4]"
175,"[129, 28, 129, 118, 97, 126, 129, 129, 13, 129]","[6, 6, 6, 6, 2, 2, 6, 6, 2, 6]"
176,"[37, 129]","[6, 6]"
177,"[129, 43, 129, 86, 129, 30, 76, 129]","[6, 2, 6, 2, 6, 2, 2, 6]"
178,"[118, 129]","[6, 6]"
179,"[86, 129]","[2, 6]"
180,"[129, 115, 108, 133, 80]","[6, 4, 4, 4, 4]"
181,"[66, 129]","[6, 6]"
182,"[73, 129]","[6, 6]"
183,"[129, 133]","[6, 6]"
184,"[66, 133, 129, 135, 19, 126]","[6, 6, 6, 6, 6, 2]"
185,"[53, 129]","[2, 6]"
186,"[37, 129]","[6, 6]"
187,"[129, 69]","[6, 2]"
188,"[129, 118]","[6, 6]"
189,"[48, 129]","[6, 6]"
190,"[129, 114]","[6, 6]"
191,"[129, 131]","[6, 2]"
192,"[16, 129, 98, 48]","[2, 6, 2, 6]"
193,"[22, 126, 129]","[6, 2, 6]"
194,"[104, 135, 129]","[6, 6, 6]"
195,"[104, 129, 66, 73]","[6, 6, 6, 6]"
196,"[119, 72, 129, 129, 133, 133, 129, 129, 134, 133]","[2, 2, 6, 6, 4, 4, 6, 6, 4, 4]"
197,"[133, 129]","[6, 6]"
198,"[129, 73]","[6, 6]"
199,"[129, 126]","[6, 2]"
200,"[73, 129]","[6, 6]"
201,"[108, 129]","[6, 6]"
202,"[129, 48]","[6, 6]"
203,"[129, 68, 37]","[6, 6, 6]"
204,"[104, 129]","[6, 6]"
205,"[126, 53, 129]","[2, 2, 6]"
206,"[108, 0, 129]","[6, 6, 6]"
207,"[129, 88]","[6, 6]"
208,"[129, 37]","[6, 6]"
209,"[129, 118]","[6, 6]"
210,"[13, 129, 54, 127, 129]","[2, 6, 6, 4, 6]"
211,"[114, 129]","[6, 6]"
212,"[129, 73]","[6, 6]"
213,"[129, 104]","[6, 6]"
214,"[73, 129]","[6, 6]"
215,"[100, 129]","[6, 6]"
216,"[129, 69, 133, 129, 118]","[6, 2, 6, 6, 6]"
217,"[73, 129, 129, 126]","[6, 6, 6, 2]"
218,"[104, 129]","[6, 6]"
219,"[59, 129]","[6, 6]"
220,"[66, 129, 129, 59]","[6, 6, 6, 6]"
221,"[129, 76]","[6, 2]"
222,"[129, 133]","[6, 6]"
223,"[129, 133]","[6, 6]"
224,"[6, 129, 111]","[2, 6, 2]"
225,"[73, 129, 129, 126, 73, 129, 89, 129, 31, 129]","[6, 6, 6, 2, 6, 6, 2, 6, 2, 6]"
226,"[133, 129]","[6, 6]"
227,"[129, 73, 73, 129, 129, 73]","[6, 6, 6, 6, 6, 6]"
228,"[73, 129, 129, 126]","[6, 6, 6, 2]"
229,"[129, 114]","[6, 6]"
230,"[66, 133, 129, 45, 129, 126, 129, 133, 129, 54, 133, 129, 19, 66, 129, 54]","[4, 4, 6, 4, 6, 2, 6, 4, 6, 6, 4, 6, 4, 4, 6, 6]"
231,"[66, 129]","[6, 6]"
232,"[129, 73, 126, 129, 69, 129, 134, 86, 129]","[6, 6, 2, 6, 2, 6, 4, 2, 6]"
233,"[129, 135]","[6, 6]"
234,"[43, 129, 133]","[2, 6, 6]"
235,"[129, 48, 128, 139, 129]","[6, 6, 4, 4, 6]"
236,"[129, 76]","[6, 2]"
237,"[129, 66]","[6, 6]"
238,"[39, 129]","[6, 6]"
239,"[129, 73]","[6, 6]"
240,"[129, 40, 129, 73]","[6, 6, 6, 4]"
241,"[129, 104, 28]","[6, 6, 6]"
242,"[31, 82, 48, 129]","[2, 2, 6, 6]"
243,"[132, 129, 62]","[5, 6, 5]"
244,"[133, 129, 114, 133, 129]","[6, 6, 6, 6, 6]"
245,"[38, 129]","[2, 6]"
246,"[37, 129]","[6, 6]"
247,"[129, 66]","[6, 6]"
248,"[45, 79, 129, 73, 129, 67, 131, 22, 16, 129, 129, 97, 129, 24, 90, 129]","[6, 6, 6, 6, 6, 2, 2, 6, 2, 6, 6, 2, 6, 2, 3, 6]"
249,"[129, 126]","[6, 2]"
250,"[133, 129, 66, 135, 129]","[6, 6, 6, 6, 6]"
251,"[114, 129]","[6, 6]"
252,"[129, 80]","[6, 4]"
253,"[129, 139]","[6, 4]"
254,"[80, 129, 28, 48, 131, 129, 81, 126, 129, 129, 97, 138, 129, 21, 30]","[4, 6, 6, 6, 2, 6, 4, 2, 6, 6, 2, 2, 6, 2, 2]"
255,"[133, 129, 66, 139]","[6, 6, 6, 4]"
256,"[40, 37, 129, 45]","[6, 6, 6, 2]"
257,"[129, 43]","[6, 2]"
258,"[104, 129]","[6, 6]"
259,"[129, 19]","[6, 6]"
260,"[135, 129, 129, 97, 108, 132, 143, 129, 143, 129]","[6, 6, 6, 2, 6, 5, 6, 6, 6, 6]"
261,"[133, 129, 133]","[6, 6, 6]"
262,"[19, 129, 19, 129, 30, 129]","[6, 6, 6, 6, 2, 6]"
263,"[126, 129]","[2, 6]"
264,"[129, 133]","[6, 6]"
265,"[133, 129]","[6, 6]"
266,"[19, 129]","[6, 6]"
267,"[129, 111, 66]","[6, 2, 6]"
268,"[129, 85]","[6, 6]"
269,"[45, 129]","[2, 6]"
270,"[129, 13]","[6, 2]"
271,"[6, 129]","[2, 6]"
272,"[133, 129]","[6, 6]"
273,"[133, 129]","[6, 6]"
274,"[23, 129]","[6, 6]"
275,"[13, 129]","[2, 6]"
276,"[114, 45, 129]","[6, 6, 6]"
277,"[45, 129, 73, 129]","[2, 6, 6, 6]"
278,"[129, 133]","[6, 6]"
279,"[129, 119, 129, 126]","[6, 2, 6, 2]"
280,"[129, 66, 60, 128, 129]","[6, 6, 4, 4, 6]"
281,"[80, 129, 80, 129, 81, 129]","[4, 6, 4, 6, 4, 6]"
282,"[19, 129]","[6, 6]"
283,"[28, 133, 129]","[6, 6, 6]"
284,"[129, 37]","[6, 6]"
285,"[114, 129]","[6, 6]"
286,"[127, 129, 128, 19]","[7, 6, 7, 6]"
287,"[128, 129]","[7, 6]"
288,"[108, 129]","[6, 6]"
289,"[28, 129]","[6, 6]"
290,"[129, 118]","[6, 6]"
291,"[19, 129]","[6, 6]"
292,"[114, 28, 133, 19, 129]","[6, 6, 6, 6, 6]"
293,"[129, 104]","[6, 6]"
294,"[73, 129, 135]","[6, 6, 6]"
295,"[97, 129]","[2, 6]"
296,"[104, 118, 128, 129, 118, 76, 129]","[6, 6, 7, 6, 4, 2, 6]"
297,"[129, 135]","[6, 6]"
298,"[135, 129]","[6, 6]"
299,"[135, 129]","[6, 6]"
300,"[127, 129, 133, 129]","[4, 6, 4, 6]"
301,"[129, 133, 82]","[6, 6, 2]"
302,"[129, 128]","[6, 7]"
303,"[129, 126, 129, 134, 111, 129]","[6, 2, 6, 4, 2, 6]"
304,"[129, 16]","[6, 2]"
305,"[86, 129, 129, 131, 129, 135]","[2, 6, 6, 2, 6, 6]"
306,"[129, 126]","[6, 2]"
307,"[129, 37]","[6, 6]"
308,"[129, 13]","[6, 2]"
309,"[129, 28]","[6, 6]"
310,"[129, 135, 128, 129, 23, 39, 129, 129, 97, 129, 104, 129, 138, 88, 101, 43, 129, 4]","[6, 6, 7, 6, 6, 6, 6, 6, 2, 6, 4, 6, 2, 4, 4, 2, 6, 4]"
311,"[129, 129, 66]","[6, 6, 6]"
312,"[135, 129]","[6, 6]"
313,"[129, 45]","[6, 6]"
314,"[129, 19]","[6, 6]"
315,"[129, 100]","[6, 6]"
316,"[128, 129, 129, 114]","[7, 6, 6, 6]"
317,"[129, 128]","[6, 7]"
318,"[129, 133, 19, 129, 22, 19]","[6, 6, 6, 6, 6, 4]"
319,"[129, 139]","[6, 4]"
320,"[111, 129, 37, 28, 129, 28, 129]","[2, 6, 6, 4, 6, 4, 6]"
321,"[129, 127]","[6, 7]"
322,"[129, 128, 133, 66]","[6, 7, 6, 6]"
323,"[37, 129]","[6, 6]"
324,"[129, 43]","[6, 2]"
325,"[104, 129]","[6, 6]"
326,"[133, 129, 37]","[6, 6, 6]"
327,"[129, 114, 129, 76, 54, 129, 134, 54, 141, 129]","[6, 6, 6, 2, 6, 6, 4, 6, 4, 6]"
328,"[129, 45, 126, 129, 11, 129]","[6, 6, 2, 6, 6, 6]"
329,"[129, 133]","[6, 6]"
330,"[128, 129]","[7, 6]"
331,"[104, 129]","[6, 6]"
332,"[104, 129]","[6, 6]"
333,"[73, 73, 129, 129, 3, 54, 129, 24]","[6, 6, 6, 6, 4, 6, 6, 2]"
334,"[4, 129]","[6, 6]"
335,"[131, 129]","[2, 6]"
336,"[28, 129]","[6, 6]"
337,"[31, 129]","[2, 6]"
338,"[128, 80, 104, 45, 129]","[7, 4, 6, 6, 6]"
339,"[129, 133]","[6, 6]"
340,"[128, 129]","[7, 6]"
341,"[133, 129, 129, 115]","[6, 6, 6, 4]"
342,"[114, 129, 86, 129, 129, 52]","[6, 6, 2, 6, 6, 2]"
343,"[108, 129, 133, 129]","[6, 6, 4, 6]"
344,"[135, 129, 108]","[6, 6, 6]"
345,"[129, 66, 19, 80, 104]","[6, 6, 6, 4, 6]"
346,"[129, 108]","[6, 6]"
347,"[135, 129]","[6, 6]"
348,"[104, 129]","[6, 6]"
349,"[39, 129]","[6, 6]"
350,"[66, 129]","[6, 6]"
351,"[133, 129, 19]","[6, 6, 6]"
352,"[19, 129]","[6, 6]"
353,"[39, 59, 129, 129, 72]","[6, 6, 6, 6, 2]"
354,"[13, 129]","[2, 6]"
355,"[127, 129, 97, 19]","[7, 6, 2, 6]"
356,"[114, 129]","[6, 6]"
357,"[129, 88]","[6, 6]"
358,"[129, 131]","[6, 2]"
359,"[128, 129, 126, 129]","[7, 6, 2, 6]"
360,"[19, 128, 129]","[6, 7, 6]"
361,"[133, 129]","[6, 6]"
362,"[135, 129, 39, 129, 129, 126]","[6, 6, 4, 6, 6, 2]"
363,"[129, 104]","[6, 6]"
364,"[129, 39]","[6, 6]"
365,"[19, 129, 133, 129]","[6, 6, 4, 6]"
366,"[129, 19, 48, 129]","[6, 6, 6, 6]"
367,"[128, 129, 133, 87, 129]","[7, 6, 4, 6, 6]"
368,"[80, 129]","[4, 6]"
369,"[129, 104]","[6, 6]"
370,"[133, 129, 141, 129]","[6, 6, 4, 6]"
371,"[100, 129]","[6, 6]"
372,"[28, 129]","[6, 6]"
373,"[40, 129]","[6, 6]"
374,"[129, 133]","[6, 6]"
375,"[28, 129, 129, 3]","[6, 6, 6, 4]"
376,"[19, 129]","[6, 6]"
377,"[129, 113, 6]","[6, 6, 2]"
378,"[129, 30, 133, 129, 126, 129, 43, 128, 129, 66, 129]","[6, 2, 6, 6, 2, 6, 2, 4, 6, 4, 6]"
379,"[126, 129]","[2, 6]"
380,"[135, 108, 129, 19, 129]","[6, 6, 6, 4, 6]"
381,"[129, 100, 19, 129, 55]","[6, 4, 4, 6, 2]"
382,"[133, 129]","[6, 6]"
383,"[80, 129]","[4, 6]"
384,"[129, 113, 66, 22, 104]","[6, 6, 6, 6, 6]"
385,"[128, 129]","[7, 6]"
386,"[129, 19, 88]","[6, 6, 6]"
387,"[93, 129]","[2, 6]"
388,"[80, 129]","[4, 6]"
389,"[101, 129, 135]","[6, 6, 6]"
390,"[128, 129]","[7, 6]"
391,"[139, 129]","[4, 6]"
392,"[129, 128, 66, 129, 126, 129, 43]","[6, 7, 6, 6, 2, 6, 2]"
393,"[131, 129]","[2, 6]"
394,"[129, 135]","[6, 6]"
395,"[93, 129, 30, 129, 129, 45, 129, 73, 101, 129, 114, 129, 128, 129, 127, 129, 46, 129]","[2, 6, 2, 6, 6, 2, 6, 2, 4, 6, 4, 6, 4, 6, 4, 6, 2, 6]"
396,"[129, 114]","[6, 6]"
397,"[89, 129]","[2, 6]"
398,"[129, 66]","[6, 6]"
399,"[30, 129, 129, 22, 55, 129, 138, 129, 2, 124, 129, 129, 2, 105, 129]","[2, 6, 6, 6, 2, 6, 2, 6, 2, 4, 6, 6, 2, 4, 6]"
400,"[129, 127]","[6, 7]"
401,"[129, 133]","[6, 6]"
402,"[129, 133]","[6, 6]"
403,"[114, 129]","[6, 6]"
404,"[48, 114, 129]","[6, 6, 6]"
405,"[128, 129, 133]","[4, 6, 4]"
406,"[129, 133]","[6, 6]"
407,"[73, 129]","[6, 6]"
408,"[126, 131, 129, 110]","[2, 2, 6, 2]"
409,"[133, 108, 135, 129, 36, 129]","[6, 6, 6, 6, 4, 6]"
410,"[129, 33]","[6, 2]"
411,"[17, 129]","[6, 6]"
412,"[129, 135]","[6, 6]"
413,"[129, 128, 127]","[6, 7, 7]"
414,"[127, 114, 129]","[7, 6, 6]"
415,"[86, 129, 89, 67, 129, 43]","[2, 6, 2, 2, 6, 2]"
416,"[129, 129, 126, 126]","[6, 6, 2, 2]"
417,"[48, 129]","[6, 6]"
418,"[129, 23, 129, 133, 4, 127, 129, 23, 23, 129]","[6, 6, 6, 6, 6, 7, 6, 4, 4, 6]"
419,"[128, 129]","[7, 6]"
420,"[66, 129]","[6, 6]"
421,"[129, 104]","[6, 6]"
422,"[66, 133, 129]","[6, 6, 6]"
423,"[129, 43, 139, 129, 138, 129]","[6, 2, 4, 6, 2, 6]"
424,"[129, 66]","[6, 6]"
425,"[129, 76]","[6, 2]"
426,"[126, 129]","[2, 6]"
427,"[129, 111]","[6, 2]"
428,"[128, 129]","[7, 6]"
429,"[129, 114]","[6, 6]"
430,"[129, 43]","[6, 2]"
431,"[129, 127]","[6, 7]"
432,"[108, 129, 128, 23]","[6, 6, 7, 6]"
433,"[104, 129]","[6, 6]"
434,"[80, 129, 133, 133, 129]","[4, 6, 6, 4, 6]"
435,"[108, 114, 129]","[6, 6, 6]"
436,"[34, 129, 133, 129]","[6, 6, 4, 6]"
437,"[133, 129]","[6, 6]"
438,"[135, 129]","[6, 6]"
439,"[135, 129, 133, 28]","[6, 6, 6, 6]"
440,"[129, 128, 127, 129]","[6, 7, 4, 6]"
441,"[129, 28, 127, 128, 135]","[6, 6, 7, 7, 6]"
442,"[129, 127]","[6, 7]"
443,"[127, 129, 126, 129, 129, 138, 97]","[7, 6, 2, 6, 6, 2, 2]"
444,"[129, 133, 129, 43, 43]","[6, 6, 6, 2, 2]"
445,"[133, 129]","[6, 6]"
446,"[129, 73]","[6, 6]"
447,"[123, 129]","[2, 6]"
448,"[133, 129]","[6, 6]"
449,"[135, 129]","[6, 6]"
450,"[37, 129, 98, 129, 129, 133]","[6, 6, 2, 6, 6, 4]"
451,"[100, 129]","[6, 6]"
452,"[135, 4, 97, 129]","[6, 6, 2, 6]"
453,"[129, 128, 129, 30]","[6, 7, 6, 2]"
454,"[114, 28, 129]","[6, 6, 6]"
455,"[129, 16, 99, 129, 57, 129, 97]","[6, 2, 5, 6, 2, 6, 2]"
456,"[129, 81]","[6, 4]"
457,"[128, 129, 128, 129, 54]","[7, 6, 4, 6, 6]"
458,"[28, 129]","[6, 6]"
459,"[68, 129, 69, 131, 45, 59, 89, 129]","[6, 6, 2, 2, 2, 6, 2, 6]"
460,"[108, 129, 79, 129, 126, 129, 76, 129]","[6, 6, 6, 6, 2, 6, 2, 6]"
461,"[133, 129]","[6, 6]"
462,"[121, 129, 129, 19]","[0, 6, 6, 4]"
463,"[133, 104, 129]","[6, 6, 6]"
464,"[39, 129]","[6, 6]"
465,"[129, 37, 133, 129]","[6, 6, 4, 6]"
466,"[126, 129]","[2, 6]"
467,"[129, 114]","[6, 6]"
468,"[118, 129]","[6, 6]"
469,"[129, 127, 129, 112]","[6, 7, 6, 2]"
470,"[48, 31, 129]","[6, 2, 6]"
471,"[131, 129]","[2, 6]"
472,"[80, 129]","[4, 6]"
473,"[28, 97, 129]","[6, 2, 6]"
474,"[133, 129, 127, 129, 128]","[6, 6, 7, 6, 7]"
475,"[81, 129]","[4, 6]"
476,"[129, 69]","[6, 2]"
477,"[129, 19, 80]","[6, 6, 4]"
478,"[100, 129]","[6, 6]"
479,"[19, 129]","[6, 6]"
480,"[129, 135, 129, 133]","[6, 6, 6, 4]"
481,"[118, 129]","[6, 6]"
482,"[88, 129]","[6, 6]"
483,"[128, 129]","[7, 6]"
484,"[129, 135, 66]","[6, 6, 6]"
485,"[135, 129]","[6, 6]"
486,"[127, 37, 129, 76, 129, 54, 129, 141]","[7, 6, 6, 2, 6, 6, 6, 4]"
487,"[114, 129, 66]","[6, 6, 6]"
488,"[114, 129, 133, 129]","[6, 6, 4, 6]"
489,"[129, 72]","[6, 2]"
490,"[37, 129]","[6, 6]"
491,"[135, 129]","[6, 6]"
492,"[129, 16, 128]","[6, 2, 7]"
493,"[128, 129]","[7, 6]"
494,"[119, 129]","[2, 6]"
495,"[86, 129, 48, 129]","[2, 6, 2, 6]"
496,"[129, 48, 113, 129]","[6, 6, 2, 6]"
497,"[128, 129]","[7, 6]"
498,"[129, 69]","[6, 2]"
499,"[128, 129, 104]","[7, 6, 6]"
500,"[43, 129]","[2, 6]"
501,"[85, 129, 104]","[6, 6, 6]"
502,"[129, 23, 128, 129, 114, 129, 127]","[6, 6, 4, 6, 4, 6, 4]"
503,"[129, 19]","[6, 6]"
504,"[127, 129, 114, 135]","[7, 6, 6, 6]"
505,"[28, 129]","[4, 6]"
506,"[129, 55]","[6, 2]"
